nohup: ignoring input
Creating Random Inputs
Starting simulations for sample size: 1000
Simulating:   9%|▉         | 92/1000 [1:33:10<15:07:57, 60.00s/it]Run 93/1000: keff=1.02786 ± 0.00078 | CR=133/248 | Run Time=57.63120484352112
Simulating:   9%|▉         | 93/1000 [1:34:08<14:56:13, 59.29s/it]Run 94/1000: keff=0.95335 ± 0.00080 | CR=25/248 | Run Time=62.73290967941284
Simulating:   9%|▉         | 94/1000 [1:35:10<15:10:50, 60.32s/it]Run 95/1000: keff=1.04703 ± 0.00069 | CR=73/248 | Run Time=60.81742739677429
Simulating:  10%|▉         | 95/1000 [1:36:11<15:12:05, 60.47s/it]Run 96/1000: keff=1.09721 ± 0.00070 | CR=190/248 | Run Time=61.175524950027466
Simulating:  10%|▉         | 96/1000 [1:37:12<15:14:16, 60.68s/it]Run 97/1000: keff=1.01698 ± 0.00076 | CR=84/248 | Run Time=63.26358413696289
Simulating:  10%|▉         | 97/1000 [1:38:16<15:24:55, 61.46s/it]Run 98/1000: keff=1.09439 ± 0.00085 | CR=210/248 | Run Time=63.043298959732056
Simulating:  10%|▉         | 98/1000 [1:39:19<15:31:03, 61.93s/it]Run 99/1000: keff=1.15944 ± 0.00080 | CR=153/248 | Run Time=62.25188136100769
Simulating:  10%|▉         | 99/1000 [1:40:21<15:31:27, 62.03s/it]Run 100/1000: keff=0.96579 ± 0.00063 | CR=100/248 | Run Time=58.994590520858765
Simulating:  10%|█         | 100/1000 [1:41:20<15:16:46, 61.12s/it]Run 101/1000: keff=1.07469 ± 0.00073 | CR=101/248 | Run Time=57.80453872680664
Simulating:  10%|█         | 101/1000 [1:42:18<15:00:51, 60.12s/it]Run 102/1000: keff=0.94756 ± 0.00069 | CR=68/248 | Run Time=62.406084299087524
Simulating:  10%|█         | 102/1000 [1:43:20<15:10:06, 60.81s/it]Run 103/1000: keff=1.06992 ± 0.00080 | CR=134/248 | Run Time=60.40679717063904
Simulating:  10%|█         | 103/1000 [1:44:21<15:07:17, 60.69s/it]Run 104/1000: keff=0.88090 ± 0.00066 | CR=26/248 | Run Time=59.53471827507019
Simulating:  10%|█         | 104/1000 [1:45:20<15:01:06, 60.34s/it]Run 105/1000: keff=1.00993 ± 0.00079 | CR=52/248 | Run Time=60.21273922920227
Simulating:  10%|█         | 105/1000 [1:46:20<14:59:31, 60.30s/it]Run 106/1000: keff=1.03009 ± 0.00075 | CR=66/248 | Run Time=59.83910250663757
Simulating:  11%|█         | 106/1000 [1:47:20<14:56:27, 60.16s/it]Run 107/1000: keff=1.14068 ± 0.00074 | CR=164/248 | Run Time=64.25373554229736
Simulating:  11%|█         | 107/1000 [1:48:24<15:13:42, 61.39s/it]Run 108/1000: keff=1.04508 ± 0.00068 | CR=180/248 | Run Time=60.06629991531372
Simulating:  11%|█         | 108/1000 [1:49:25<15:06:46, 60.99s/it]Run 109/1000: keff=0.94327 ± 0.00074 | CR=45/248 | Run Time=59.93636393547058
Simulating:  11%|█         | 109/1000 [1:50:24<15:01:03, 60.68s/it]Run 110/1000: keff=0.88582 ± 0.00080 | CR=21/248 | Run Time=60.82508158683777
Simulating:  11%|█         | 110/1000 [1:51:25<15:00:42, 60.72s/it]Run 111/1000: keff=1.07762 ± 0.00080 | CR=177/248 | Run Time=62.19890379905701
Simulating:  11%|█         | 111/1000 [1:52:28<15:06:15, 61.16s/it]Run 112/1000: keff=1.00576 ± 0.00081 | CR=104/248 | Run Time=60.723493337631226
